"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"WCN_SS_Mean_Score",0.866223908918406,"WCN_SS_Mean_Score"
"2",2,"WCN_SS_Mean_Score",0.888994307400379,"WCN_SS_Mean_Score"
"3",3,"WCN_SS_Mean_Score",0.889943074003795,"WCN_SS_Mean_Score"
"4",4,"WCN_SS_Mean_Score",0.898039215686275,"WCN_SS_Mean_Score"
"5",5,"WCN_SS_Mean_Score",0.938235294117647,"WCN_SS_Mean_Score"
"6",6,"WCN_SS_Mean_Score",0.871889400921659,"WCN_SS_Mean_Score"
"7",7,"WCN_SS_Mean_Score",0.857142857142857,"WCN_SS_Mean_Score"
"8",8,"WCN_SS_Mean_Score",0.87156862745098,"WCN_SS_Mean_Score"
"9",9,"WCN_SS_Mean_Score",0.865686274509804,"WCN_SS_Mean_Score"
"10",10,"WCN_SS_Mean_Score",0.866223908918406,"WCN_SS_Mean_Score"
