"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_Mean_Score",0.927893738140417,"RSA_WCN_Mean_Score"
"2",2,"RSA_WCN_Mean_Score",0.919354838709677,"RSA_WCN_Mean_Score"
"3",3,"RSA_WCN_Mean_Score",0.937142857142857,"RSA_WCN_Mean_Score"
"4",4,"RSA_WCN_Mean_Score",0.949019607843137,"RSA_WCN_Mean_Score"
"5",5,"RSA_WCN_Mean_Score",0.923529411764706,"RSA_WCN_Mean_Score"
"6",6,"RSA_WCN_Mean_Score",0.92314990512334,"RSA_WCN_Mean_Score"
"7",7,"RSA_WCN_Mean_Score",0.938330170777989,"RSA_WCN_Mean_Score"
"8",8,"RSA_WCN_Mean_Score",0.919607843137255,"RSA_WCN_Mean_Score"
"9",9,"RSA_WCN_Mean_Score",0.922201138519924,"RSA_WCN_Mean_Score"
"10",10,"RSA_WCN_Mean_Score",0.932718894009217,"RSA_WCN_Mean_Score"
