"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_SS_Mean_Score",0.87156862745098,"RSA_SS_Mean_Score"
"2",2,"RSA_SS_Mean_Score",0.854838709677419,"RSA_SS_Mean_Score"
"3",3,"RSA_SS_Mean_Score",0.897142857142857,"RSA_SS_Mean_Score"
"4",4,"RSA_SS_Mean_Score",0.835863377609108,"RSA_SS_Mean_Score"
"5",5,"RSA_SS_Mean_Score",0.841555977229602,"RSA_SS_Mean_Score"
"6",6,"RSA_SS_Mean_Score",0.847004608294931,"RSA_SS_Mean_Score"
"7",7,"RSA_SS_Mean_Score",0.83965844402277,"RSA_SS_Mean_Score"
"8",8,"RSA_SS_Mean_Score",0.831372549019608,"RSA_SS_Mean_Score"
"9",9,"RSA_SS_Mean_Score",0.850980392156863,"RSA_SS_Mean_Score"
"10",10,"RSA_SS_Mean_Score",0.83965844402277,"RSA_SS_Mean_Score"
