"","num_dataset","AUC_Train.model.name","AUC_Train.AUC","Model_Type"
"1",1,"RSA_WCN_SS",0.915559772296015,"RSA_WCN_SS"
"2",2,"RSA_WCN_SS",0.924509803921569,"RSA_WCN_SS"
"3",3,"RSA_WCN_SS",0.92258064516129,"RSA_WCN_SS"
"4",4,"RSA_WCN_SS",0.952561669829222,"RSA_WCN_SS"
"5",5,"RSA_WCN_SS",0.922549019607843,"RSA_WCN_SS"
"6",6,"RSA_WCN_SS",0.914705882352941,"RSA_WCN_SS"
"7",7,"RSA_WCN_SS",0.926267281105991,"RSA_WCN_SS"
"8",8,"RSA_WCN_SS",0.903225806451613,"RSA_WCN_SS"
"9",9,"RSA_WCN_SS",0.919607843137255,"RSA_WCN_SS"
"10",10,"RSA_WCN_SS",0.920303605313093,"RSA_WCN_SS"
