"","num_dataset","AUC","Model_Type"
"1",1,0.928571428571429,"RSA_WCN_Mean_Score"
"2",2,0.947058823529412,"RSA_WCN_Mean_Score"
"3",3,0.944971537001898,"RSA_WCN_Mean_Score"
"4",4,0.951960784313726,"RSA_WCN_Mean_Score"
"5",5,0.946869070208729,"RSA_WCN_Mean_Score"
"6",6,0.945920303605313,"RSA_WCN_Mean_Score"
"7",7,0.943778801843318,"RSA_WCN_Mean_Score"
"8",8,0.949715370018975,"RSA_WCN_Mean_Score"
"9",9,0.937381404174573,"RSA_WCN_Mean_Score"
"10",10,0.938235294117647,"RSA_WCN_Mean_Score"
