"","num_dataset","AUC","Model_Type"
"1",1,0.92843137254902,"RSA_WCN_SS_Mean_Score"
"2",2,0.945098039215686,"RSA_WCN_SS_Mean_Score"
"3",3,0.947465437788018,"RSA_WCN_SS_Mean_Score"
"4",4,0.944022770398482,"RSA_WCN_SS_Mean_Score"
"5",5,0.950664136622391,"RSA_WCN_SS_Mean_Score"
"6",6,0.931797235023041,"RSA_WCN_SS_Mean_Score"
"7",7,0.938330170777989,"RSA_WCN_SS_Mean_Score"
"8",8,0.950664136622391,"RSA_WCN_SS_Mean_Score"
"9",9,0.953921568627451,"RSA_WCN_SS_Mean_Score"
"10",10,0.938235294117647,"RSA_WCN_SS_Mean_Score"
